CD_MUN,CIDADE,UF,LAT,LON
1704600,Chapada de Areia,TO,-10.194473,-49.016326
1705102,Chapada da Natividade,TO,-11.728083,-47.927499
1705508,Colinas do Tocantins,TO,-8.074594,-48.472241
1705557,Combinado,TO,-12.806972,-46.581055
1705607,Conceição do Tocantins,TO,-12.188215,-47.250047
1706001,Couto Magalhães,TO,-8.235258,-49.248294
1706100,Cristalândia,TO,-10.628592,-49.400689
1706258,Crixás do Tocantins,TO,-11.116376,-48.914525
1706506,Darcinópolis,TO,-6.847587,-47.750724
1707009,Dianópolis,TO,-11.655601,-46.830464
1707108,Divinópolis do Tocantins,TO,-9.716648,-49.192613
1707207,Dois Irmãos do Tocantins,TO,-9.256408,-49.114459
1707306,Dueré,TO,-11.248265,-49.128543
1707405,Esperantina,TO,-5.368798,-48.590338
1707553,Fátima,TO,-10.757536,-48.912233
1707652,Figueirópolis,TO,-12.045501,-49.189519
1707702,Filadélfia,TO,-7.55686,-47.758914
1708205,Formoso do Araguaia,TO,-11.797836,-49.789852
1708254,Fortaleza do Tabocão,TO,-9.065064,-48.707766
1708304,Goianorte,TO,-8.744771,-48.93745
1709005,Goiatins,TO,-7.851976,-47.148215
1709302,Guaraí,TO,-8.839811,-48.501601
1709500,Gurupi,TO,-11.72651,-49.000974
1709807,Ipueiras,TO,-11.164077,-48.40705
1710508,Itacajá,TO,-8.458378,-47.740044
1710706,Itaguatins,TO,-5.751371,-47.643029
1710904,Itapiratins,TO,-8.365849,-48.112644
1711100,Itaporã do Tocantins,TO,-8.569752,-48.645222
1711506,Jaú do Tocantins,TO,-12.668629,-48.590628
1711803,Juarina,TO,-8.09013,-49.078464
1711902,Lagoa da Confusão,TO,-10.826016,-50.214521
1711951,Lagoa do Tocantins,TO,-10.360813,-47.575877
1712009,Lajeado,TO,-9.695454,-48.260599
1712157,Lavandeira,TO,-12.909669,-46.516878
1712405,Lizarda,TO,-9.594639,-46.673246
1712454,Luzinópolis,TO,-6.160958,-47.889706
1712504,Marianópolis do Tocantins,TO,-9.867952,-49.707022
1712702,Mateiros,TO,-10.547713,-46.350203
1712801,Maurilândia do Tocantins,TO,-5.976222,-47.985528
1713205,Miracema do Tocantins,TO,-9.534595,-48.423263
1713304,Miranorte,TO,-9.598014,-48.893536
1713601,Monte do Carmo,TO,-10.872631,-48.015738
1713700,Monte Santo do Tocantins,TO,-10.006164,-48.991238
1713809,Palmeiras do Tocantins,TO,-6.602422,-47.681312
1713957,Muricilândia,TO,-7.099419,-48.619575
1714203,Natividade,TO,-11.689042,-47.663845
1714302,Nazaré,TO,-6.367418,-47.674803
1714880,Nova Olinda,TO,-7.606186,-48.426103
1715002,Nova Rosalândia,TO,-10.56864,-48.912746
1715101,Novo Acordo,TO,-10.076151,-47.591722
1715150,Novo Alegre,TO,-12.891791,-46.877061
1715259,Novo Jardim,TO,-11.828385,-46.715187
1715507,Oliveira de Fátima,TO,-10.703787,-48.899563
1715705,Palmeirante,TO,-7.923252,-47.948779
1715754,Palmeirópolis,TO,-13.001851,-48.442719
1716109,Paraíso do Tocantins,TO,-10.174167,-48.87503
1716208,Paranã,TO,-12.757799,-47.756765
1716307,Pau D'Arco,TO,-7.656476,-49.325079
1716505,Pedro Afonso,TO,-8.942143,-47.937285
1716604,Peixe,TO,-12.041049,-48.564367
1716653,Pequizeiro,TO,-8.67945,-48.876417
1716703,Colméia,TO,-8.641728,-48.875215
1717008,Pindorama do Tocantins,TO,-11.115768,-47.697282
1717206,Piraquê,TO,-6.642599,-48.453351
1717503,Pium,TO,-10.154281,-49.99105
1717800,Ponte Alta do Bom Jesus,TO,-12.086963,-46.693357
1717909,Ponte Alta do Tocantins,TO,-10.6884,-47.30509
1718006,Porto Alegre do Tocantins,TO,-11.712037,-47.148886
1718204,Porto Nacional,TO,-10.744844,-48.441812
1718303,Praia Norte,TO,-5.376099,-47.837519
1718402,Presidente Kennedy,TO,-8.53582,-48.504412
1718451,Pugmil,TO,-10.422818,-48.925254
1718501,Recursolândia,TO,-8.710602,-47.230614
1718550,Riachinho,TO,-6.466931,-48.041422
1718659,Rio da Conceição,TO,-11.388667,-46.775846
1718709,Rio dos Bois,TO,-9.295896,-48.518558
1718758,Rio Sono,TO,-9.668223,-47.474878
1718808,Sampaio,TO,-5.341575,-47.879966
1718840,Sandolândia,TO,-12.627976,-49.849169
1718865,Santa Fé do Araguaia,TO,-7.035299,-48.878116
1718881,Santa Maria do Tocantins,TO,-8.734206,-47.759509
1718899,Santa Rita do Tocantins,TO,-10.888937,-48.927525
1718907,Santa Rosa do Tocantins,TO,-11.518131,-48.020837
1719004,Santa Tereza do Tocantins,TO,-10.259299,-47.85563
1720002,Santa Terezinha do Tocantins,TO,-6.436312,-47.689401
1720101,São Bento do Tocantins,TO,-6.055596,-48.145611
1720150,São Félix do Tocantins,TO,-10.175346,-46.668318
1720200,São Miguel do Tocantins,TO,-5.591747,-47.837854
1720259,São Salvador do Tocantins,TO,-12.747417,-48.216281
1720309,São Sebastião do Tocantins,TO,-5.270945,-48.194374
